Equipment ID,Year,Consumption,Stock,Demand,ACL,SES,Exp Fit,MSL,USL,PLT,RPQ
1,1990,313,1697,480,,,347.00000000000006,,,18,
1,1991,347,2527,363,,313.0,369.08145799574777,,,18,
1,1992,443,2327,545,,319.8,395.1215249435145,,,18,
1,1993,416,2801,541,389.0,344.44000000000005,452.97510544362217,466.79999999999995,1167.0,18,-1050.5000000000002
1,1994,527,2930,490,413.0,358.75200000000007,483.34078203170947,495.59999999999997,1239.0,18,-1071.5000000000002
1,1995,454,3249,525,476.0,392.40160000000003,549.3896770935586,571.1999999999999,1428.0,18,-1107.0
1,1996,464,3210,624,472.0,404.72128000000004,563.5844539449137,566.4,1416.0,18,-1086.0
1,1997,695,3113,574,471.0,416.57702400000005,567.2476456492486,565.1999999999999,1413.0,18,-993.5
1,1998,623,3463,799,577.0,472.26161920000004,661.9967996213072,692.4,1731.0,18,-866.5
1,1999,728,3677,828,620.0,502.4092953600001,704.1094123092552,744.0,1860.0,18,-887.0
1,2000,733,3907,835,687.0,547.5274362880001,773.9240267575233,824.4,2061.0,18,-815.5
1,2001,702,4461,786,713.0,584.6219490304001,823.2003169238953,855.6,2139.0,18,-1252.5
1,2002,800,4335,914,716.0,608.0975592243201,836.2305609114861,859.1999999999999,2148.0,18,-1113.0000000000005
1,2003,839,4993,890,756.0,646.478047379456,875.1917006618207,907.1999999999999,2268.0,18,-1591.0000000000005
1,2004,781,5208,1022,803.0,684.9824379035649,912.7654813525895,963.5999999999999,2409.0,18,-1594.5000000000005
1,2005,837,4557,1009,803.0,704.185950322852,906.9068949491058,963.5999999999999,2409.0,18,-943.5000000000005
1,2006,956,4744,1053,818.0,730.7487602582817,914.262090442511,981.5999999999999,2454.0,18,-1063.0000000000005
1,2007,925,5236,1281,887.0,775.7990082066254,962.7071756468058,1064.3999999999999,2661.0,18,-1244.5
1,2008,1031,5929,1160,920.0,805.6392065653004,983.0961865429335,1104.0,2760.0,18,-1789.0
1,2009,940,5655,1148,983.0,850.7113652522404,1037.1250758515862,1179.6,2949.0,18,-1231.5
1,2010,1017,5763,1204,967.0,868.5690922017924,1035.741649199817,1160.3999999999999,2901.0,18,-1411.5
1,2011,1118,5873,1188,993.0,898.255273761434,1058.0215146001742,1191.6,2979.0,18,-1404.5
1,2012,1265,6593,1412,1054.0,942.2042190091472,1112.642492853807,1264.8,3162.0,18,-1850.0
1,2013,1183,6273,1312,1174.0,1006.7633752073178,1215.212914108277,1408.8,3522.0,18,-990.0
1,2014,1211,6468,1356,1199.0,1042.0107001658544,1258.5431769666795,1438.8,3597.0,18,-1072.5
1,2015,1176,6450,1462,1210.0,1075.8085601326836,1293.825429486236,1452.0,3630.0,18,-1005.0
1,2016,1220,6986,1403,1188.0,1095.846848106147,1295.3563759318888,1425.6,3564.0,18,-1640.0
1,2017,1294,7312,1578,1203.0,1120.6774784849176,1303.2319896668594,1443.6,3609.0,18,-1898.5
1,2018,1397,7047,1657,1249.0,1155.341982787934,1331.8339772599008,1498.8,3747.0,18,-1426.5
1,2019,1288,7706,1579,1333.0,1203.6735862303474,1391.887489067901,1599.6,3999.0,18,-1707.5
2,1990,652,913,3074,,,1325.8503117431371,,,18,
2,1991,723,1359,2325,,652.0,1244.7415548925403,,,18,
2,1992,923,1251,3492,,666.2,1174.4298320583648,,,18,
2,1993,866,1506,3467,811.0,717.5600000000001,1120.2773351719882,973.1999999999999,2433.0,18,2143.4999999999995
2,1994,1097,1576,3137,861.0,747.2480000000002,1067.5425061438375,1033.2,2583.0,18,2298.5
2,1995,947,1747,3360,991.0,817.1984000000001,1029.2156621603426,1189.2,2973.0,18,2712.5
2,1996,0,1726,3997,983.0,843.1587200000001,987.6269606346134,1179.6,2949.0,18,2697.5
2,1997,1448,1674,3676,498.0,674.5269760000001,826.5672644744509,597.6,1494.0,18,567.0
2,1998,1298,1863,5116,881.0,829.2215808000001,813.2334305435894,1057.2,2643.0,18,2101.5
2,1999,1516,1977,5303,1131.0,922.9772646400002,797.2064706051402,1357.2,3393.0,18,3112.5
2,2000,1527,2101,5344,1432.0,1041.5818117120002,789.3304512159159,1718.3999999999999,4296.0,18,4342.999999999999
2,2001,1462,2399,5035,1485.0,1138.6654493696003,783.2427525420139,1782.0,4455.0,18,4283.5
2,2002,1667,2332,5851,1492.0,1203.3323594956803,776.7433178707489,1790.3999999999999,4476.0,18,4381.999999999999
2,2003,0,2686,5702,1575.0,1296.0658875965444,777.0679659276922,1890.0,4725.0,18,4401.5
2,2004,1626,2801,6546,799.0,1036.8527100772355,651.7861924199567,958.8,2397.0,18,794.5
2,2005,1743,2451,6463,1090.0,1154.6821680617886,655.172818445526,1308.0,3270.0,18,2454.0
2,2006,1991,2552,6742,1413.0,1272.345734449431,662.2735410975646,1695.6,4239.0,18,3806.5
2,2007,1926,2816,8199,1847.0,1416.0765875595448,675.7136361023606,2216.4,5541.0,18,5495.5
2,2008,2146,3189,7427,1917.0,1518.0612700476358,688.7883258064488,2300.4,5751.0,18,5437.5
2,2009,1958,3042,7353,2046.0,1643.6490160381088,707.4489715402708,2455.2,6138.0,18,6165.0
2,2010,2119,3099,7711,2015.0,1706.519212830487,723.148864996498,2418.0,6045.0,18,5968.5
2,2011,2329,3159,7609,2069.0,1789.0153702643897,743.2825724783106,2482.7999999999997,6207.0,18,6151.5
2,2012,2634,3546,9038,2197.0,1897.0122962115117,768.8211451262623,2636.4,6591.0,18,6340.5
2,2013,0,3374,8399,2446.0,2044.4098369692097,801.6034440688874,2935.2,7338.0,18,7633.0
2,2014,0,3479,8681,1266.0,1635.5278695753677,682.2952682455791,1519.2,3798.0,18,2218.0
2,2015,2448,3469,9362,439.0,1308.4222956602944,577.6970252820735,526.8,1317.0,18,-1493.5000000000002
2,2016,2540,3758,8981,1224.0,1536.3378365282356,605.846670269437,1468.8,3672.0,18,1750.0
2,2017,0,3933,10105,2086.0,1737.0702692225886,636.9266321449248,2503.2,6258.0,18,5454.0
2,2018,2909,3790,10610,1254.0,1389.656215378071,539.8316484236774,1504.8,3762.0,18,1853.0
2,2019,2681,4145,10107,1877.0,1693.5249723024567,576.2968505378374,2252.4,5631.0,18,4301.5
3,1990,1800,1508,107,,,1953.47350224271,,,18,
3,1991,1997,2246,81,,1800.0,1934.278787232753,,,18,
3,1992,2551,2068,121,,1839.4,1937.733450028265,,,18,
3,1993,2391,2489,121,2241.0,1981.7200000000003,1996.4560757903432,2689.2,6723.0,18,7595.5
3,1994,3030,2604,109,2378.0,2063.576,2040.2436921929,2853.6,7134.0,18,8097.0
3,1995,2615,2887,117,2737.0,2256.8608000000004,2142.433699261698,3284.4,8211.0,18,9429.5
3,1996,0,2853,139,2716.0,2328.4886400000005,2207.383698611599,3259.2,8148.0,18,9369.0
3,1997,3999,2766,128,1376.0,1862.7909120000004,1421.6019060755825,1651.2,4128.0,18,3426.0
3,1998,3584,3078,178,2435.0,2290.0327296000005,1570.4420860577738,2922.0,7305.0,18,7879.5
3,1999,4186,3267,185,3125.0,2548.8261836800007,1705.9943437570405,3750.0,9375.0,18,10795.5
3,2000,4217,3472,186,3954.0,2876.2609469440004,1888.4649231469539,4744.8,11862.0,18,14321.0
3,2001,4038,3964,175,4101.0,3144.4087575552003,2085.0892090543907,4921.2,12303.0,18,14490.5
3,2002,4603,3853,204,4122.0,3323.12700604416,2280.076909014937,4946.4,12366.0,18,14696.0
3,2003,4824,4437,198,4350.0,3579.101604835328,2524.8804560153535,5220.0,13050.0,18,15138.0
3,2004,4491,4629,228,4619.0,3828.0812838682627,2797.8392530017077,5542.8,13857.0,18,16156.5
3,2005,0,4050,225,4620.0,3960.66502709461,3055.009176844671,5544.0,13860.0,18,16740.0
3,2006,5498,4216,235,2301.0,3168.532021675688,2022.1203312029972,2761.2,6903.0,18,6138.5
3,2007,5319,4653,286,3497.0,3634.425617340551,2286.4074170899253,4196.4,10491.0,18,11083.499999999998
3,2008,5927,5269,259,4492.0,3971.3404938724407,2559.957311910343,5390.4,13476.0,18,14945.0
3,2009,5408,5026,256,5652.0,4362.472395097953,2891.648505981181,6782.4,16956.0,18,20408.0
3,2010,5851,5121,269,5566.0,4571.577916078363,3206.7785758797213,6679.2,16698.0,18,19926.0
3,2011,0,5219,265,5716.0,4827.46233286269,3569.6373155704027,6859.2,17148.0,18,20503.0
