Equipment ID,Equipment Type,ABC,VED
1,E&SP (NR),C,E
2,E&SP (NR),C,V
3,E&SP (NR),C,E
4,E&SP (R),C,E
5,E&SP (NR),C,E
6,E&SP (NR),C,E
7,E&SP (NR),C,E
8,E&SP (R),C,D
9,E&SP (NR),C,E
10,E&SP (NR),C,E
11,E&SP (NR),C,E
12,NS,C,E
13,NS,C,V
14,E&SP (R),C,E
15,NS,C,D
16,E&SP (NR),C,D
17,E&SP (NR),C,E
18,E&SP (NR),C,E
19,E&SP (NR),C,E
20,E&SP (NR),C,V
21,E&SP (NR),C,E
22,E&SP (NR),C,V
23,E&SP (R),B,V
24,E&SP (NR),C,V
25,NS,C,E
26,NS,C,V
27,E&SP (NR),C,D
28,E&SP (R),C,E
29,E&SP (R),C,E
30,E&SP (R),C,E
31,NS,C,D
32,E&SP (NR),C,D
33,E&SP (NR),C,E
34,NS,C,E
35,E&SP (NR),C,E
36,E&SP (NR),C,D
37,E&SP (NR),C,D
38,E&SP (R),C,E
39,E&SP (NR),C,E
40,NS,C,E
41,E&SP (R),C,E
42,E&SP (NR),C,V
43,E&SP (NR),C,V
44,E&SP (R),C,E
45,E&SP (NR),C,D
46,E&SP (NR),C,E
47,E&SP (NR),C,E
48,E&SP (NR),C,D
49,NS,C,D
50,E&SP (R),C,D
51,E&SP (NR),B,V
52,E&SP (NR),C,E
53,E&SP (NR),C,V
54,E&SP (R),C,E
55,E&SP (NR),C,D
56,E&SP (R),C,E
57,E&SP (R),C,D
58,E&SP (NR),C,E
59,NS,C,E
60,E&SP (NR),C,E
61,E&SP (NR),C,E
62,E&SP (NR),C,D
63,E&SP (NR),C,E
64,E&SP (NR),C,V
65,E&SP (R),C,E
66,E&SP (R),C,D
67,E&SP (NR),C,E
68,E&SP (R),C,E
69,E&SP (NR),C,D
70,E&SP (NR),C,E
71,E&SP (NR),C,D
72,E&SP (NR),C,V
73,E&SP (NR),C,V
74,E&SP (NR),C,V
75,E&SP (R),C,V
76,E&SP (NR),C,D
77,E&SP (NR),C,D
78,E&SP (NR),C,V
79,E&SP (R),C,D
80,E&SP (NR),C,E
81,E&SP (NR),C,E
82,E&SP (NR),C,D
83,NS,C,E
84,E&SP (NR),C,E
85,E&SP (NR),C,E
86,E&SP (NR),C,E
87,NS,C,E
