Equipment ID,Year,Consumption,Stock,Demand,ACL,SES,Exp Fit,MSL,USL,PLT,RPQ
1,1990,313,1697,480,,,347.00000000000006,,,18,
1,1991,347,2527,363,,313.0,369.08145799574777,,,18,
1,1992,443,2327,545,,319.8,395.1215249435145,,,18,
1,1993,416,2801,541,389.0,344.44000000000005,452.97510544362217,466.79999999999995,1167.0,18,-1050.5000000000002
1,1994,527,2930,490,413.0,358.75200000000007,483.34078203170947,495.59999999999997,1239.0,18,-1071.5000000000002
1,1995,454,3249,525,476.0,392.40160000000003,549.3896770935586,571.1999999999999,1428.0,18,-1107.0
1,1996,464,3210,624,472.0,404.72128000000004,563.5844539449137,566.4,1416.0,18,-1086.0
1,1997,695,3113,574,471.0,416.57702400000005,567.2476456492486,565.1999999999999,1413.0,18,-993.5
1,1998,623,3463,799,577.0,472.26161920000004,661.9967996213072,692.4,1731.0,18,-866.5
1,1999,728,3677,828,620.0,502.4092953600001,704.1094123092552,744.0,1860.0,18,-887.0
1,2000,733,3907,835,687.0,547.5274362880001,773.9240267575233,824.4,2061.0,18,-815.5
1,2001,702,4461,786,713.0,584.6219490304001,823.2003169238953,855.6,2139.0,18,-1252.5
1,2002,800,4335,914,716.0,608.0975592243201,836.2305609114861,859.1999999999999,2148.0,18,-1113.0000000000005
1,2003,839,4993,890,756.0,646.478047379456,875.1917006618207,907.1999999999999,2268.0,18,-1591.0000000000005
1,2004,781,5208,1022,803.0,684.9824379035649,912.7654813525895,963.5999999999999,2409.0,18,-1594.5000000000005
1,2005,837,4557,1009,803.0,704.185950322852,906.9068949491058,963.5999999999999,2409.0,18,-943.5000000000005
1,2006,956,4744,1053,818.0,730.7487602582817,914.262090442511,981.5999999999999,2454.0,18,-1063.0000000000005
1,2007,925,5236,1281,887.0,775.7990082066254,962.7071756468058,1064.3999999999999,2661.0,18,-1244.5
1,2008,1031,5929,1160,920.0,805.6392065653004,983.0961865429335,1104.0,2760.0,18,-1789.0
1,2009,940,5655,1148,983.0,850.7113652522404,1037.1250758515862,1179.6,2949.0,18,-1231.5
1,2010,1017,5763,1204,967.0,868.5690922017924,1035.741649199817,1160.3999999999999,2901.0,18,-1411.5
1,2011,1118,5873,1188,993.0,898.255273761434,1058.0215146001742,1191.6,2979.0,18,-1404.5
1,2012,1265,6593,1412,1054.0,942.2042190091472,1112.642492853807,1264.8,3162.0,18,-1850.0
1,2013,1183,6273,1312,1174.0,1006.7633752073178,1215.212914108277,1408.8,3522.0,18,-990.0
1,2014,1211,6468,1356,1199.0,1042.0107001658544,1258.5431769666795,1438.8,3597.0,18,-1072.5
1,2015,1176,6450,1462,1210.0,1075.8085601326836,1293.825429486236,1452.0,3630.0,18,-1005.0
1,2016,1220,6986,1403,1188.0,1095.846848106147,1295.3563759318888,1425.6,3564.0,18,-1640.0
1,2017,1294,7312,1578,1203.0,1120.6774784849176,1303.2319896668594,1443.6,3609.0,18,-1898.5
1,2018,1397,7047,1657,1249.0,1155.341982787934,1331.8339772599008,1498.8,3747.0,18,-1426.5
1,2019,1288,7706,1579,1333.0,1203.6735862303474,1391.887489067901,1599.6,3999.0,18,-1707.5
2,1990,652,913,3074,,,1.2199508366339595,,,18,
2,1991,0,1359,0,,652.0,1.249170170713451,,,18,
2,1992,923,1251,3492,,521.6,0.9821374227832231,,,18,
2,1993,866,1506,3467,570.0,601.8800000000001,,684.0,1710.0,18,1059.0
2,1994,1097,1576,3137,740.0,654.7040000000002,0.6547812236428351,888.0,2220.0,18,1754.0
2,1995,0,1747,0,991.0,743.1632000000002,2.5742269343026067,1189.2,2973.0,18,2712.5
2,1996,0,1726,3997,510.0,594.5305600000002,1.065646387770724,612.0,1530.0,18,569.0
2,1997,1448,1674,3676,182.0,475.62444800000014,1.061480259791509,218.4,546.0,18,-855.0
2,1998,1298,1863,5116,724.0,670.0995584000002,,868.8,2172.0,18,1395.0
2,1999,1516,1977,5303,1131.0,795.6796467200002,0.7207014273965017,1357.2,3393.0,18,3112.5
2,2000,1527,2101,5344,1432.0,939.7437173760002,10.407826683165942,1718.3999999999999,4296.0,18,4342.999999999999
2,2001,1462,2399,5035,1485.0,1057.1949739008003,42.74610873696525,1782.0,4455.0,18,4283.5
2,2002,1667,2332,5851,1492.0,1138.1559791206403,110.12467481586454,1790.3999999999999,4476.0,18,4381.999999999999
2,2003,1747,2686,5702,1575.0,1243.9247832965123,237.43312374925992,1890.0,4725.0,18,4401.5
2,2004,1626,2801,0,1672.0,1344.53982663721,442.6145075608612,2006.3999999999999,5016.0,18,4722.999999999999
2,2005,0,2451,6463,1673.0,1400.831861309768,718.3461996712416,2007.6,5019.0,18,5077.5
2,2006,1991,2552,6742,833.0,1120.6654890478146,373.2050728287299,999.5999999999999,2499.0,18,1196.4999999999995
2,2007,1926,2816,8199,1266.0,1294.7323912382517,640.1845864219491,1519.2,3798.0,18,2881.0
2,2008,0,3189,7427,1626.0,1420.9859129906015,986.9215378746927,1951.1999999999998,4878.0,18,4127.999999999999
2,2009,1958,3042,7353,973.0,1136.7887303924813,510.74579465488756,1167.6,2919.0,18,1336.5
2,2010,2119,3099,0,1300.0,1301.030984313985,791.3190956302477,1560.0,3900.0,18,2751.0
2,2011,2329,3159,7609,1712.0,1464.624787451188,1161.394816290069,2054.4,5136.0,18,4545.0
2,2012,2634,3546,9038,2197.0,1637.4998299609504,1633.73859458824,2636.4,6591.0,18,6340.5
2,2013,2463,3374,8399,2446.0,1836.7998639687603,2228.627831952305,2935.2,7338.0,18,7633.0
2,2014,2522,3479,8681,2497.0,1962.0398911750085,2832.621720482381,2996.4,7491.0,18,7757.5
2,2015,2448,3469,9362,2521.0,2074.031912940007,3453.184844063644,3025.2,7563.0,18,7875.5
2,2016,2540,3758,0,2475.0,2148.8255303520054,4013.2859557378915,2970.0,7425.0,18,7379.5
2,2017,0,3933,10105,2506.0,2227.0604242816044,4528.5242120071825,3007.2,7518.0,18,7344.0
2,2018,2909,3790,10610,1254.0,1781.6483394252837,2341.1234558500782,1504.8,3762.0,18,1853.0
2,2019,2681,4145,0,1877.0,2007.1186715402273,2728.1637974595005,2252.4,5631.0,18,4301.5
3,1990,1800,1508,107,,,1997.0,,,18,
3,1991,1997,2246,81,,1800.0,2124.978883813021,,,18,
3,1992,2551,2068,121,,1839.4,2275.917559413039,,,18,
3,1993,2391,2489,121,2241.0,1981.7200000000003,2610.2175941371274,2689.2,6723.0,18,7595.5
3,1994,3030,2604,109,2378.0,2063.576,2783.70612072125,2853.6,7134.0,18,8097.0
3,1995,2615,2887,117,2737.0,2256.8608000000004,3162.3691703985014,3284.4,8211.0,18,9429.5
3,1996,2671,2853,139,2716.0,2328.4886400000005,3244.8906759837537,3259.2,8148.0,18,9369.0
3,1997,3999,2766,128,2712.0,2396.990912,3265.957859069484,3254.4,8136.0,18,9438.0
3,1998,3584,3078,178,3325.0,2717.3927296,3810.433422093186,3990.0,9975.0,18,11884.5
3,1999,4186,3267,185,3570.0,2890.7141836800006,4051.650956418049,4284.0,10710.0,18,12798.0
3,2000,4217,3472,186,3954.0,3149.7713469440005,4451.340185531453,4744.8,11862.0,18,14321.0
3,2001,4038,3964,175,4101.0,3363.217077555201,4734.139223079579,4921.2,12303.0,18,14490.5
3,2002,4603,3853,204,4122.0,3498.1736620441607,4808.470110427775,4946.4,12366.0,18,14696.0
3,2003,4824,4437,198,4350.0,3719.1389296353286,5032.778473789856,5220.0,13050.0,18,15138.0
3,2004,4491,4629,228,4619.0,3940.111143708263,5247.8127795872015,5542.8,13857.0,18,16156.5
3,2005,4814,4050,225,4620.0,4050.2889149666107,5213.6692119602785,5544.0,13860.0,18,16740.0
3,2006,5498,4216,235,4708.0,4203.031131973289,5256.1747665285875,5649.599999999999,14124.0,18,16970.0
3,2007,5319,4653,286,5102.0,4462.024905578632,5534.940628733891,6122.4,15306.0,18,18306.0
3,2008,5927,5269,259,5294.0,4633.419924462905,5652.154763667523,6352.8,15882.0,18,18554.0
3,2009,5408,5026,256,5652.0,4892.135939570324,5962.217206132333,6782.4,16956.0,18,20408.0
3,2010,5851,5121,269,5566.0,4995.308751656259,5955.666294268935,6679.2,16698.0,18,19926.0
3,2011,6431,5219,265,5716.0,5166.4470013250075,6085.136796614955,6859.2,17148.0,18,20503.0
