Equipment ID,Equipment Type,ABC,VED
1,E&SP (NR),C,D
2,E&SP (NR),C,E
3,E&SP (NR),B,E
4,NS,C,D
5,E&SP (NR),C,V
6,E&SP (NR),C,E
7,E&SP (NR),A,V
8,E&SP (R),C,D
9,E&SP (R),C,V
10,E&SP (R),C,E
11,E&SP (NR),B,E
12,NS,C,E
13,E&SP (R),C,V
14,E&SP (R),C,V
15,E&SP (R),C,E
16,E&SP (R),C,V
17,E&SP (NR),C,E
18,NS,C,V
19,NS,C,E
20,E&SP (R),C,E
21,E&SP (NR),C,V
22,E&SP (R),C,V
23,E&SP (R),C,E
24,E&SP (R),C,E
25,E&SP (NR),C,D
26,E&SP (R),C,E
27,E&SP (NR),C,E
28,E&SP (R),C,E
29,NS,C,E
30,E&SP (NR),B,E
31,E&SP (NR),B,V
32,E&SP (R),C,V
33,NS,C,V
34,E&SP (NR),B,V
35,E&SP (NR),C,D
36,E&SP (R),C,E
37,E&SP (R),C,E
38,E&SP (NR),C,E
39,E&SP (NR),C,V
40,NS,C,V
41,E&SP (NR),C,E
42,NS,C,D
43,NS,B,E
44,E&SP (R),C,E
45,NS,A,E
46,E&SP (R),C,E
47,E&SP (R),C,V
48,E&SP (R),C,E
49,NS,C,V
50,E&SP (NR),C,E
51,NS,C,E
52,NS,C,D
53,E&SP (R),C,E
54,E&SP (NR),C,D
55,E&SP (NR),C,E
56,E&SP (NR),C,E
57,E&SP (R),C,E
58,NS,C,D
59,E&SP (NR),C,D
60,NS,C,E
61,E&SP (NR),C,D
62,NS,C,E
63,E&SP (NR),C,D
64,E&SP (R),C,D
65,NS,C,E
66,NS,C,E
67,NS,C,D
68,E&SP (R),C,E
69,E&SP (NR),B,E
70,E&SP (NR),B,E
71,E&SP (NR),C,D
72,NS,C,E
73,NS,C,E
74,E&SP (R),C,D
75,E&SP (NR),C,V
76,E&SP (R),B,E
77,E&SP (R),C,E
78,E&SP (NR),C,E
79,NS,C,E
80,E&SP (R),C,D
81,E&SP (R),C,E
82,E&SP (NR),C,E
83,E&SP (NR),C,D
84,NS,C,E
85,E&SP (R),C,D
86,E&SP (R),C,V
87,E&SP (NR),C,E
88,E&SP (NR),C,V
89,E&SP (NR),C,D
90,E&SP (NR),C,V
91,E&SP (R),C,E
92,E&SP (NR),C,E
93,NS,C,E
94,E&SP (R),C,D
95,E&SP (R),B,V
96,E&SP (NR),C,E
97,E&SP (NR),C,E
98,E&SP (NR),C,V
99,E&SP (R),C,E
100,E&SP (R),C,D
101,E&SP (NR),C,D
102,E&SP (NR),C,E
103,E&SP (R),B,E
104,E&SP (R),C,V
105,NS,C,V
106,E&SP (R),C,E
107,E&SP (R),C,E
108,E&SP (R),C,E
109,E&SP (NR),C,V
110,E&SP (R),A,E
111,E&SP (NR),B,V
112,E&SP (R),C,E
113,E&SP (NR),C,E
114,E&SP (NR),C,E
115,E&SP (R),C,D
116,E&SP (NR),C,E
117,NS,C,D
118,NS,C,E
119,E&SP (NR),C,V
120,E&SP (NR),C,E
121,E&SP (NR),C,V
122,E&SP (NR),C,D
123,E&SP (NR),C,E
124,E&SP (R),C,E
125,E&SP (R),B,E
126,E&SP (R),C,V
127,NS,C,V
128,E&SP (R),C,E
